,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-Inoculumn-mGAM
F5-e003Coalescence-mBHI-p5_S16,0.3333333333333333,
F8-e003Coalescence-mGAM-p5_S65,0.3333333333333333,
H8-e003Coalescence-mBHI-p7_S137,0.0,
G9-e003Coalescence-mGAM-p5_S78,0.0,
E2-e003Coalescence-mBHI-p5_S1,0.0,
E2-e003Coalescence-mBHI-p3_S9,0.0,
G8-e003Coalescence-mGAM-p5_S77,0.3333333333333333,
G3-e003Coalescence-mBHI-p3_S34,0.3333333333333333,
G100-e003Coalescence-mBHI-p5_S31,0.3333333333333333,
F9-e003Coalescence-mBHI-p3_S118,0.3333333333333333,
E111-e003Coalescence-mBHI-p3_S108,1.0,
G3-e003Coalescence-mBHI-p5_S26,0.3333333333333333,
G5-e003Coalescence-mBHI-p5_S28,0.3333333333333333,
H111-e003Coalescence-mGAM-p5_S92,1.0,
G4-e003Coalescence-mBHI-p3_S35,0.3333333333333333,
H9-e003Coalescence-mGAM-p5_S90,0.3333333333333333,
H2-e003Coalescence-mBHI-p3_S45,0.0,
E8-e003Coalescence-mBHI-p7_S101,0.0,
E4-e003Coalescence-mBHI-p5_S3,0.0,
H2-e003Coalescence-mGAM-p3_S93,0.0,
E4-e003Coalescence-mGAM-p5_S51,0.3333333333333333,
G9-e003Coalescence-mGAM-p7_S174,0.3333333333333333,
F2-e003Coalescence-mBHI-p3_S21,0.0,
E8-e003Coalescence-mGAM-p3_S153,0.3333333333333333,
G111-e003Coalescence-mGAM-p3_S180,0.3333333333333333,
G5-e003Coalescence-mGAM-p3_S84,0.3333333333333333,
H8-e003Coalescence-mBHI-p5_S41,1.0,
E100-e003Coalescence-mBHI-p5_S7,0.0,
G100-e003Coalescence-mGAM-p7_S175,0.3333333333333333,
F9-e003Coalescence-mGAM-p7_S162,0.3333333333333333,
E2-e003Coalescence-mBHI-p7_S97,0.0,
F8-e003Coalescence-mGAM-p7_S161,0.0,
F3-e003Coalescence-mBHI-p3_S22,0.3333333333333333,
G3-e003Coalescence-mBHI-p7_S122,0.3333333333333333,
G5-e003Coalescence-mGAM-p5_S76,0.3333333333333333,
G5-e003Coalescence-mGAM-p7_S172,0.3333333333333333,
G4-e003Coalescence-mGAM-p5_S75,0.3333333333333333,
G8-e003Coalescence-mBHI-p3_S129,0.0,
E5-e003Coalescence-mGAM-p3_S60,0.0,
G2-e003Coalescence-mGAM-p5_S73,0.0,
E5-e003Coalescence-mGAM-p7_S148,0.0,
H9-e003Coalescence-mGAM-p7_S186,0.0,
E100-e003Coalescence-mGAM-p5_S55,0.0,
E8-e003Coalescence-mGAM-p5_S53,0.0,
H5-e003Coalescence-mGAM-p3_S96,1.0,
G4-e003Coalescence-mGAM-p3_S83,0.3333333333333333,
F4-e003Coalescence-mBHI-p7_S111,0.3333333333333333,
H3-e003Coalescence-mGAM-p7_S182,0.0,
H5-e003Coalescence-mGAM-p5_S88,1.0,
F4-e003Coalescence-mGAM-p5_S63,0.3333333333333333,
G4-e003Coalescence-mGAM-p7_S171,0.3333333333333333,
H8-e003Coalescence-mGAM-p5_S89,1.0,
F3-e003Coalescence-mBHI-p5_S14,0.3333333333333333,
F100-e003Coalescence-mBHI-p7_S115,0.3333333333333333,
E3-e003Coalescence-mGAM-p7_S146,0.3333333333333333,
F100-e003Coalescence-mGAM-p3_S167,0.0,
G100-e003Coalescence-mBHI-p3_S131,0.0,
G4-e003Coalescence-mBHI-p7_S123,0.3333333333333333,
E9-e003Coalescence-mGAM-p3_S154,0.0,
F3-e003Coalescence-mGAM-p5_S62,0.3333333333333333,
H4-e003Coalescence-mBHI-p7_S135,0.3333333333333333,
E3-e003Coalescence-mBHI-p5_S2,0.0,
G111-e003Coalescence-mBHI-p7_S128,0.3333333333333333,
H3-e003Coalescence-mBHI-p5_S38,0.3333333333333333,
G3-e003Coalescence-mGAM-p3_S82,0.0,
F111-e003Coalescence-mGAM-p3_S168,0.3333333333333333,
F3-e003Coalescence-mGAM-p7_S158,0.3333333333333333,
F8-e003Coalescence-mBHI-p7_S113,0.0,
G2-e003Coalescence-mBHI-p7_S121,0.0,
H4-e003Coalescence-mBHI-p3_S47,0.3333333333333333,
F3-e003Coalescence-mBHI-p7_S110,0.3333333333333333,
F100-e003Coalescence-mGAM-p5_S67,0.0,
G8-e003Coalescence-mBHI-p7_S125,0.0,
F4-e003Coalescence-mBHI-p5_S15,0.3333333333333333,
H111-e003Coalescence-mBHI-p5_S44,1.0,
E111-e003Coalescence-mBHI-p7_S104,0.3333333333333333,
E2-e003Coalescence-mGAM-p3_S57,0.0,
F2-e003Coalescence-mBHI-p5_S13,0.0,
F4-e003Coalescence-mBHI-p3_S23,0.3333333333333333,
F2-e003Coalescence-mGAM-p3_S69,0.0,
E9-e003Coalescence-mGAM-p5_S54,0.3333333333333333,
G3-e003Coalescence-mGAM-p5_S74,0.3333333333333333,
E111-e003Coalescence-mGAM-p5_S56,1.0,
G100-e003Coalescence-mGAM-p5_S79,0.3333333333333333,
H100-e003Coalescence-mGAM-p5_S91,0.3333333333333333,
G9-e003Coalescence-mBHI-p3_S130,0.3333333333333333,
E4-e003Coalescence-mGAM-p7_S147,0.0,
E4-e003Coalescence-mGAM-p3_S59,0.0,
H4-e003Coalescence-mBHI-p5_S39,0.3333333333333333,
F4-e003Coalescence-mGAM-p3_S71,0.3333333333333333,
H100-e003Coalescence-mBHI-p7_S139,0.3333333333333333,
G8-e003Coalescence-mBHI-p5_S29,0.0,
G2-e003Coalescence-mBHI-p5_S25,0.0,
G8-e003Coalescence-mGAM-p7_S173,0.0,
E4-e003Coalescence-mBHI-p3_S11,0.0,
E2-e003Coalescence-mGAM-p5_S49,0.0,
H9-e003Coalescence-mBHI-p5_S42,0.3333333333333333,
H111-e003Coalescence-mGAM-p3_S192,1.0,
F5-e003Coalescence-mBHI-p3_S24,0.3333333333333333,
E8-e003Coalescence-mBHI-p3_S105,0.0,
E8-e003Coalescence-mGAM-p7_S149,0.0,
H5-e003Coalescence-mBHI-p7_S136,1.0,
G9-e003Coalescence-mBHI-p5_S30,0.3333333333333333,
F111-e003Coalescence-mBHI-p7_S116,0.3333333333333333,
F5-e003Coalescence-mBHI-p7_S112,0.3333333333333333,
F4-e003Coalescence-mGAM-p7_S159,0.3333333333333333,
F111-e003Coalescence-mBHI-p3_S120,0.3333333333333333,
H3-e003Coalescence-mGAM-p5_S86,0.3333333333333333,
E4-e003Coalescence-mBHI-p7_S99,0.0,
H4-e003Coalescence-mGAM-p5_S87,0.3333333333333333,
E100-e003Coalescence-mGAM-p7_S151,0.3333333333333333,
G9-e003Coalescence-mGAM-p3_S178,0.3333333333333333,
H9-e003Coalescence-mBHI-p7_S138,0.3333333333333333,
H8-e003Coalescence-mGAM-p7_S185,1.0,
G2-e003Coalescence-mGAM-p3_S81,0.0,
F111-e003Coalescence-mBHI-p5_S20,0.3333333333333333,
F8-e003Coalescence-mBHI-p5_S17,0.3333333333333333,
G100-e003Coalescence-mBHI-p7_S127,0.3333333333333333,
E5-e003Coalescence-mGAM-p5_S52,0.0,
